subject,time,session,list,serial_pos,type,item,recalled
LTP000,90340.75876701732,3,1,1,WORD,ERAT,0
LTP000,94066.82680179743,3,1,2,WORD,ELIT,0
LTP000,94887.38008573608,3,1,3,WORD,ARCU,1
LTP000,96699.25448774328,3,1,4,WORD,CONDIMENTUM,0
LTP000,98234.34148970862,3,2,1,WORD,DONEC,0
LTP000,102005.81139575326,3,2,2,WORD,EUISMOD,0
LTP000,102150.76628274588,3,2,3,WORD,DIGNISSIM,1
LTP000,104238.9820090769,3,2,4,WORD,FACILISIS,1
LTP000,107373.326511638,3,3,1,WORD,BLANDIT,0
LTP000,108423.80738264527,3,3,2,WORD,MAECENAS,0
LTP000,109747.45051387396,3,3,3,WORD,CURABITUR,0
LTP000,112444.75342859975,3,3,4,WORD,HABITANT,0
LTP000,114500.27253383104,3,4,1,WORD,EGET,0
LTP000,117147.04657817086,3,4,2,WORD,BIBENDUM,0
LTP000,118104.64619380356,3,4,3,WORD,ENIM,1
LTP000,119729.19943628662,3,4,4,WORD,GRAVIDA,0
